H_A,Minutes,PointsPerMinute,ProjTotal,AvgPointsPerMinute,BackToBack,ThreeOfFour,Back2BackTravel,DvP Pos,Last5DvP,Last5DvPRank
0,34.2,1.089181287,113,0.948733281,0,0,0,PG,0.970308217,13
0,36.08333333,1.136258661,97.25,0.88725054,1,0,1,PG,0.779593868,2
0,33.6,0.587797619,113,1.105368336,0,0,0,SG,0.746143193,8
0,43.3,0.918013857,97.25,0.760937691,1,0,1,SG,0.672268602,4
0,32.01666667,1.702238417,113,1.283933765,0,0,0,C,1.446744023,30
0,39.58333333,0.789473684,97.25,0.97744393,1,0,1,PF,1.203689898,29
0,19.65,1.259541985,111.75,1.390130989,1,0,0,C,1.007322912,12
0,38.06666667,0.97854641,102.75,0.856607544,0,0,0,PG,0.938749433,9
0,15.93333333,0.470711297,111.75,1.054100747,1,0,0,PF,0.910914321,12
0,28.35,1.02292769,102,1.000845959,1,0,0,PG,1.0243309,18
0,42.53333333,0.617163009,97.25,0.823901169,1,0,1,C,0.772031107,1
0,22.78333333,0.548646672,102,0.686157462,1,0,0,SF,0.801181108,16
0,30.58333333,1.291553134,113,0.76706797,0,0,0,PF,1.133686233,26
0,34.88333333,1.110845676,102,0.964942896,1,0,0,PF,1.321497654,30
0,20.08333333,0.44813278,111.75,0.709181423,1,1,0,SF,0.927344074,24
0,34.28333333,1.210500729,103.25,1.067854229,0,0,0,PF,0.982023707,18
0,35.25,0.815602837,111.75,0.810683452,1,0,0,SF,0.856523046,19
0,31.83333333,0.926701571,105,0.810029292,1,0,0,PG,0.873183016,4
0,36.91666667,1.164785553,105,1.218442248,1,0,0,PF,1.108500611,25
0,38.28333333,0.777100566,102.25,0.920780547,0,0,0,SF,0.64054806,2
0,31,1.169354839,102.25,1.035401983,0,1,0,C,0.955371298,6
0,13.31666667,0.206508135,109.5,0.851786222,0,0,0,SF,1.21288227,30
0,35.66666667,0.806074766,104.5,0.958049954,0,0,0,SG,0.92044138,22
0,22.35,1.319910515,105.5,1.247357028,0,0,0,C,0.962057469,7
0,27.81666667,0.736968244,107.5,0.719274998,0,0,0,SG,0.79435954,11
0,37.06666667,1.746852518,104.5,1.24711655,0,0,0,PG,1.064198854,20
0,13.45,0.6133829,105,0.833436825,1,0,0,SF,0.815957155,17
0,22.76666667,0.988286969,110.25,0.775030619,0,1,0,SG,1.074542834,29
0,33.65,1.225854383,105,1.14883807,1,0,0,C,1.171032992,24
0,37.18333333,0.927835052,109.5,1.121489077,0,0,0,SG,0.741506312,8
0,19.71666667,0.773457312,115.75,0.7644945,0,0,0,PG,0.936591352,10
0,31.2,1.041666667,107.5,1.243727174,0,0,0,C,1.156845819,22
0,34.31666667,0.932491501,105.5,0.874013527,0,0,0,SG,0.96102819,26
0,35.71666667,0.391973868,103.25,0.884737095,0,0,0,SG,0.594251282,1
0,33.86666667,0.546259843,115.75,0.597024926,0,0,0,SG,0.861209044,17
0,23.35,0.353319058,115.75,0.684518877,0,0,0,SF,0.77186056,11
0,35.25,2.368794326,105.5,1.574841459,0,0,0,SG,0.96102819,26
0,24.23333333,0.753094911,107.5,0.810751576,0,0,0,PG,0.981737292,15
0,33.85,1.395864106,111.75,0.948733281,1,0,0,PG,1.01402508,18
0,30.4,0.773026316,111.75,1.105368336,1,0,0,SG,0.803601827,12
0,18.88333333,0.46337158,109.5,1.224951714,0,0,0,C,0.716817205,1
0,21.2,0.837264151,103.25,0.802095565,0,0,0,SG,0.594251282,1
0,32.9,1.428571429,104.5,1.203301513,0,0,0,C,1.192948059,25
0,28.53333333,1.130257009,111.75,1.283933765,1,0,0,C,1.063051522,17
0,34.73333333,0.842130518,102.25,0.821952489,0,0,0,SG,0.959416379,25
0,18.48333333,0.892696123,115.75,1.259846241,0,0,0,PF,0.900169627,11
0,38.26666667,1.672473868,107.5,1.208124987,0,0,0,PF,1.16527099,26
0,21.15,0.756501182,110.25,0.860773993,0,0,0,SF,0.743717643,6
0,37.85,0.819022457,102.25,0.9426954,0,1,0,SF,0.64054806,2
0,29.61666667,1.240855374,110.25,1.204962646,0,0,0,PF,1.198987441,27
0,40.58333333,1.386036961,115.75,1.536531793,0,0,0,SF,0.77186056,11
0,35.15,0.803698435,102.25,1.013410646,0,1,0,PG,0.910470874,8
0,30.3,0.511551155,104.5,0.6753442,0,0,0,SF,0.612124678,2
0,32.43333333,1.294964029,103.25,1.266705763,0,0,0,C,0.980541417,9
