Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Cameron Reynolds (14117079),Cameron Reynolds,14117079,SG/SF/F/G/UTIL,3000,MIL@POR 01/11/2020 10:00PM ET,MIL,0
PG/SG,Frank Mason III (14117084),Frank Mason III,14117084,PG/SG/G/UTIL,3000,MIL@POR 01/11/2020 10:00PM ET,MIL,4.25
SF/PF,Thanasis Antetokounmpo (14117088),Thanasis Antetokounmpo,14117088,SF/PF/F/UTIL,3000,MIL@POR 01/11/2020 10:00PM ET,MIL,3.71
PF/C,D.J. Wilson (14117092),D.J. Wilson,14117092,PF/C/F/UTIL,3000,MIL@POR 01/11/2020 10:00PM ET,MIL,7.22
PF/C,Dragan Bender (14117096),Dragan Bender,14117096,PF/C/F/UTIL,3000,MIL@POR 01/11/2020 10:00PM ET,MIL,8.83
PF,Grant Williams (14116775),Grant Williams,14116775,PF/F/UTIL,3000,NO@BOS 01/11/2020 07:00PM ET,BOS,9.12
PG/SG,Brad Wanamaker (14116815),Brad Wanamaker,14116815,PG/SG/G/UTIL,3000,NO@BOS 01/11/2020 07:00PM ET,BOS,14.79
SG,Javonte Green (14116819),Javonte Green,14116819,SG/G/UTIL,3000,NO@BOS 01/11/2020 07:00PM ET,BOS,6.05
SF/PF,Semi Ojeleye (14116822),Semi Ojeleye,14116822,SF/PF/F/UTIL,3000,NO@BOS 01/11/2020 07:00PM ET,BOS,6.48
C,Tacko Fall (14116826),Tacko Fall,14116826,C/UTIL,3000,NO@BOS 01/11/2020 07:00PM ET,BOS,8
PG,Carsen Edwards (14116828),Carsen Edwards,14116828,PG/G/UTIL,3000,NO@BOS 01/11/2020 07:00PM ET,BOS,7.11
PF/C,Robert Williams (14116831),Robert Williams,14116831,PF/C/F/UTIL,3000,NO@BOS 01/11/2020 07:00PM ET,BOS,14.86
PG,Tremont Waters (14116835),Tremont Waters,14116835,PG/G/UTIL,3000,NO@BOS 01/11/2020 07:00PM ET,BOS,8.35
SG/SF,Romeo Langford (14116838),Romeo Langford,14116838,SG/SF/F/G/UTIL,3000,NO@BOS 01/11/2020 07:00PM ET,BOS,5.5
C,Vincent Poirier (14116843),Vincent Poirier,14116843,C/UTIL,3000,NO@BOS 01/11/2020 07:00PM ET,BOS,4.97
SF/PF,Darius Miller (14116944),Darius Miller,14116944,SF/PF/F/UTIL,3000,NO@BOS 01/11/2020 07:00PM ET,NO,0
PG,Josh Gray (14116948),Josh Gray,14116948,PG/G/UTIL,3000,NO@BOS 01/11/2020 07:00PM ET,NO,2.5
C,Jahlil Okafor (14116951),Jahlil Okafor,14116951,C/UTIL,3000,NO@BOS 01/11/2020 07:00PM ET,NO,16.19
SF/PF,Kenrich Williams (14116953),Kenrich Williams,14116953,SF/PF/F/UTIL,3000,NO@BOS 01/11/2020 07:00PM ET,NO,15.09
SF/PF,Zylan Cheatham (14116957),Zylan Cheatham,14116957,SF/PF/F/UTIL,3000,NO@BOS 01/11/2020 07:00PM ET,NO,3.38
PG/SG,Frank Jackson (14116961),Frank Jackson,14116961,PG/SG/G/UTIL,3000,NO@BOS 01/11/2020 07:00PM ET,NO,8.52
PF/C,Nicolo Melli (14116965),Nicolo Melli,14116965,PF/C/F/UTIL,3000,NO@BOS 01/11/2020 07:00PM ET,NO,10.88
SG/SF,Deonte Burton (14116778),Deonte Burton,14116778,SG/SF/F/G/UTIL,3000,LAL@OKC 01/11/2020 08:00PM ET,OKC,5.06
SG/SF,Hamidou Diallo (14116783),Hamidou Diallo,14116783,SG/SF/F/G/UTIL,3000,LAL@OKC 01/11/2020 08:00PM ET,OKC,15.75
SG/SF,Andre Roberson (14116866),Andre Roberson,14116866,SG/SF/F/G/UTIL,3000,LAL@OKC 01/11/2020 08:00PM ET,OKC,0
SF/PF,Kevin Hervey (14116871),Kevin Hervey,14116871,SF/PF/F/UTIL,3000,LAL@OKC 01/11/2020 08:00PM ET,OKC,2
C,Justin Patton (14116875),Justin Patton,14116875,C/UTIL,3000,LAL@OKC 01/11/2020 08:00PM ET,OKC,2.17
PG,Luguentz Dort (14116877),Luguentz Dort,14116877,PG/G/UTIL,3000,LAL@OKC 01/11/2020 08:00PM ET,OKC,6.14
SF/PF,Jared Dudley (14117000),Jared Dudley,14117000,SF/PF/F/UTIL,3000,LAL@OKC 01/11/2020 08:00PM ET,LAL,4.56
PF,DeMarcus Cousins (14117004),DeMarcus Cousins,14117004,PF/F/UTIL,3000,LAL@OKC 01/11/2020 08:00PM ET,LAL,0
SG,Troy Daniels (14117007),Troy Daniels,14117007,SG/G/UTIL,3000,LAL@OKC 01/11/2020 08:00PM ET,LAL,6.64
PG,Quinn Cook (14117010),Quinn Cook,14117010,PG/G/UTIL,3000,LAL@OKC 01/11/2020 08:00PM ET,LAL,8.38
PF,Devontae Cacok (14117013),Devontae Cacok,14117013,PF/F/UTIL,3000,LAL@OKC 01/11/2020 08:00PM ET,LAL,0
SF/PF,Kostas Antetokounmpo (14117016),Kostas Antetokounmpo,14117016,SF/PF/F/UTIL,3000,LAL@OKC 01/11/2020 08:00PM ET,LAL,0.92
